   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:52
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sariakandi	5455	2229	660	663	208	261	184	339	523	4544	83.2997
Shibganj	33259	13569	1821	6134	919	1817	1711	2078	3789	28049	84.3351
Bogra Sadar	18414	7170	2341	1603	917	1672	756	1111	1867	15570	84.5552
Gabtali	23997	8363	1790	7053	435	940	311	1228	1539	20120	83.8438
Sonatola	13730	6336	896	2002	790	900	185	690	875	11799	85.9359
Shajahanpur	11145	4341	1427	1254	588	689	400	419	819	9118	81.8125

 
