   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:33
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18074	7079	2017	3594	783	459	387	719	1106	15038	83.2024
Bhariab Bazar	25436	12048	3773	2854	587	794	166	836	1002	21058	82.7882
Austagram	7955	3344	633	1683	638	44	33	211	244	6586	82.7907
Kishoreganj Sadar	1742	649	405	123	104	99	14	85	99	1479	84.9024
Hossainpur	11628	4758	771	1832	838	531	134	674	808	9538	82.0261
Nikli	8258	2984	1135	1125	1114	100	27	426	453	6911	83.6885
Pakundia	12641	4888	1340	2354	884	323	247	316	563	10352	81.8923
Itna	12458	6809	1466	1327	489	104	247	255	502	10697	85.8645
Kuliarchar	12164	5630	830	1280	630	708	269	589	858	9936	81.6837
Tarail	9096	5527	628	286	384	172	156	312	468	7465	82.0690
Karimganj	12805	5603	1009	1986	782	424	355	665	1020	10824	84.5295

 
