   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:39
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	18695	6356	4009	2115	531	365	266	804	1070	14446	77.2720
Barura	5038	1806	457	938	119	176	87	209	296	3792	75.2680
Burichong	12508	4865	1631	1821	365	395	235	476	711	9788	78.2539
Muradnagar	7767	2386	782	1475	445	59	101	361	462	5609	72.2158
Daudkandi	6815	2087	611	1631	376	157	35	423	458	5320	78.0631
Chandina	16365	5485	1781	3523	565	237	286	673	959	12550	76.6881
Nangolkot	9340	3197	1173	1492	490	213	8	536	544	7109	76.1135
Meghna	4034	1560	336	776	40	56	2	212	214	2982	73.9217
Titash	4437	1354	997	972	91	44	22	132	154	3612	81.4064
Monohargonj	1583	730	86	212	18	4	7	130	137	1187	74.9842

 
