   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:37
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	23524	6607	2058	5786	478	1156	267	3189	3456	19541	83.0684
Mohanpur	13051	5673	633	2784	225	354	222	1178	1400	11069	84.8134
Puthiya	4535	1743	515	430	124	176	42	714	756	3744	82.5579
Bagmara	14937	2524	2605	3977	914	836	570	1246	1816	12672	84.8363
Charghat	4401	1712	411	687	67	112	30	503	533	3522	80.0273
Boalia	67606	28324	20036	5765	389	709	290	1806	2096	57319	84.7839
Tanore	4284	1827	606	249	37	288	102	423	525	3532	82.4463
Godagari	20376	6481	2755	4139	387	346	479	3469	3948	18056	88.6141

 
