   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:52
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	25089	7192	4855	3348	1248	1569	771	1385	2156	20368	81.1830
Boalmari	11308	3475	1257	1337	1226	261	347	764	1111	8667	76.6449
Char Bhadrashion	2641	540	290	381	260	398	63	275	338	2207	83.5668
Nagarkanda	3354	847	592	655	167	310	161	102	263	2834	84.4961
Sadarpur	3003	860	254	285	135	164	24	205	229	1927	64.1692
Alphadanga	8764	3160	925	1207	917	77	446	454	900	7186	81.9945
Modhukhali	6819	2693	482	1287	161	190	113	505	618	5431	79.6451
Saltha	5931	1801	968	975	385	326	197	221	418	4873	82.1615

 
