   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:42
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jhikarghachha	7916	1822	638	1919	672	356	290	861	1151	6558	82.8449
Jessore Sadar	65247	20403	5178	13932	3274	3801	2560	3148	5708	52296	80.1508
Sarsa	6353	1841	407	1253	158	167	234	399	633	4459	70.1873
Keshobpur	9700	3485	352	2384	117	375	384	536	920	7633	78.6907
Bagherpara	14249	5621	994	2563	689	1103	379	831	1210	12180	85.4797
Monirampur	7932	2124	350	2489	37	366	367	888	1255	6621	83.4720
Abhaynagar	4948	1140	646	1204	117	101	115	264	379	3587	72.4939
Chowgachha	2164	690	274	350	72	51	31	224	255	1692	78.1885

 
