   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:44
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	28514	6398	2099	5483	571	1593	288	3389	3677	19821	69.5132
Mohanpur	13203	5505	670	2754	268	490	233	1202	1435	11122	84.2384
Puthiya	4569	1448	462	841	111	153	49	731	780	3795	83.0598
Bagmara	15004	2113	3315	3443	981	829	579	1417	1996	12677	84.4908
Charghat	4481	1523	529	806	87	177	32	521	553	3675	82.0129
Boalia	73061	28627	20328	8660	512	837	306	2058	2364	61328	83.9408
Tanore	4074	1628	584	197	40	335	125	448	573	3357	82.4006
Godagari	19154	6421	1556	3719	491	491	477	3266	3743	16421	85.7314

 
