   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:45
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	21053	6030	3785	3210	1128	1309	687	1138	1825	17287	82.1118
Boalmari	10230	2789	1384	1543	1138	171	322	689	1011	8036	78.5533
Char Bhadrashion	2532	555	293	441	292	382	60	264	324	2287	90.3239
Nagarkanda	3321	871	605	698	142	217	140	68	208	2741	82.5354
Sadarpur	2947	838	265	331	132	139	24	184	208	1913	64.9135
Alphadanga	8327	3003	827	1125	844	30	235	399	634	6463	77.6150
Modhukhali	4482	1791	359	541	50	113	30	288	318	3172	70.7720
Saltha	5869	1898	930	928	385	227	192	210	402	4770	81.2745

 
