   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	26094	7515	5225	2551	1374	1825	805	1440	2245	20735	79.4627
Boalmari	11358	3425	1375	1279	1258	335	347	766	1113	8785	77.3464
Char Bhadrashion	2669	515	296	315	249	417	65	286	351	2143	80.2922
Nagarkanda	3357	878	519	653	190	285	166	108	274	2799	83.3780
Sadarpur	3046	933	319	278	152	216	24	213	237	2135	70.0919
Alphadanga	9342	3411	1004	1315	929	155	261	513	774	7588	81.2246
Modhukhali	6866	2720	544	1351	182	244	118	511	629	5670	82.5808
Saltha	5934	1809	812	932	391	300	201	226	427	4671	78.7159

 
