   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:40
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	23706	6453	2071	5550	516	1386	283	3276	3559	19535	82.4053
Mohanpur	13108	5985	693	2838	248	426	225	1187	1412	11602	88.5108
Puthiya	4555	1709	517	464	128	182	49	718	767	3767	82.7003
Bagmara	14970	1978	2823	3671	1038	938	575	1385	1960	12408	82.8858
Charghat	4401	1624	541	701	75	143	30	513	543	3627	82.4131
Boalia	67723	26387	20697	7109	458	782	301	1927	2228	57661	85.1424
Tanore	4307	1776	624	275	42	319	123	407	530	3566	82.7954
Godagari	18243	5884	2496	3684	416	407	438	3066	3504	16391	89.8482

 
