   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:42
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	34679	9552	3239	7347	828	2244	446	5056	5502	28712	82.7936
Mohanpur	13156	5750	653	2721	261	453	230	1196	1426	11264	85.6187
Puthiya	4556	1706	519	477	125	186	49	729	778	3791	83.2090
Bagmara	14984	1965	3473	3137	1083	966	577	1400	1977	12601	84.0964
Charghat	4422	1580	537	755	84	163	31	520	551	3670	82.9941
Boalia	67753	25939	21035	6914	485	799	303	1994	2297	57469	84.8213
Tanore	4309	1729	629	293	47	326	126	437	563	3587	83.2444
Godagari	18386	5754	2397	3609	437	433	443	3153	3596	16226	88.2519

 
