   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	19664	5328	1485	5258	388	780	169	2790	2959	16198	82.3739
Mohanpur	12863	5309	497	2764	188	314	211	1158	1369	10441	81.1708
Puthiya	5838	2217	621	562	90	262	35	1008	1043	4795	82.1343
Bagmara	14851	2765	3010	4449	764	457	372	1194	1566	13011	87.6103
Charghat	2612	965	323	454	50	88	22	231	253	2133	81.6616
Boalia	68208	29067	19555	6632	320	489	275	1977	2252	58315	85.4958
Tanore	6224	2525	789	437	51	430	144	742	886	5118	82.2301
Godagari	18847	6037	2459	3488	279	399	465	3233	3698	16360	86.8043

 
