   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18720	6614	1580	2932	1163	1036	566	1134	1700	15025	80.2618
Bhariab Bazar	28080	12580	1231	4110	1179	1813	324	1844	2168	23081	82.1973
Austagram	10700	3762	891	2066	400	292	196	1067	1263	8674	81.0654
Kishoreganj Sadar	4851	1046	736	432	572	779	40	468	508	4073	83.9621
Hossainpur	11138	2475	1219	2568	971	822	150	812	962	9017	80.9571
Nikli	7750	3260	593	822	802	257	30	776	806	6540	84.3871
Pakundia	13779	5512	1230	2151	661	773	433	575	1008	11335	82.2629
Itna	7414	3829	1056	961	55	51	64	63	127	6079	81.9935
Kuliarchar	10503	4279	316	1334	803	705	328	864	1192	8629	82.1575
Tarail	10321	5189	909	546	372	513	231	407	638	8167	79.1299
Karimganj	11501	4726	813	1134	619	545	342	669	1011	8848	76.9324

 
