   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18036	6801	1940	4026	718	399	375	708	1083	14967	82.9840
Bhariab Bazar	24616	12025	3775	2502	531	580	157	762	919	20332	82.5967
Austagram	9156	3824	842	1946	600	31	35	220	255	7498	81.8917
Kishoreganj Sadar	1735	678	406	128	87	84	14	77	91	1474	84.9568
Hossainpur	11607	4747	786	1824	787	494	119	649	768	9406	81.0373
Nikli	8207	3028	972	1230	1104	92	27	413	440	6866	83.6603
Pakundia	12634	4882	1331	2345	839	303	231	314	545	10245	81.0907
Itna	12458	6768	1460	1310	396	100	241	247	488	10522	84.4598
Kuliarchar	12158	5634	837	1309	603	695	253	566	819	9897	81.4032
Tarail	9082	5399	870	279	346	149	141	304	445	7488	82.4488
Karimganj	12786	5725	1075	1950	759	345	346	650	996	10850	84.8584

 
