   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:49
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	21177	5979	3937	2800	1131	1437	708	1180	1888	17172	81.0880
Boalmari	11274	3420	1320	1368	1215	231	347	762	1109	8663	76.8405
Char Bhadrashion	2634	539	297	377	249	372	61	268	329	2163	82.1185
Nagarkanda	3350	849	587	668	158	286	151	82	233	2781	83.0149
Sadarpur	3004	828	256	300	119	149	25	187	212	1864	62.0506
Alphadanga	8777	3160	914	1219	933	32	245	431	676	6934	79.0019
Modhukhali	6756	2828	524	911	140	152	113	502	615	5170	76.5246
Saltha	5925	1790	935	926	367	283	195	212	407	4708	79.4599

 
