   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	25956	7492	5255	2728	1302	1647	792	1414	2206	20630	79.4807
Boalmari	11329	3374	1278	1355	1236	288	347	764	1111	8642	76.2821
Char Bhadrashion	2661	517	287	337	252	398	64	278	342	2133	80.1578
Nagarkanda	3354	879	541	666	178	259	165	99	264	2787	83.0948
Sadarpur	3025	922	298	295	145	185	24	209	233	2078	68.6942
Alphadanga	8744	3141	930	1219	919	83	248	473	721	7013	80.2036
Modhukhali	6835	2689	531	1346	163	204	114	508	622	5555	81.2729
Saltha	5932	1808	829	932	388	273	199	221	420	4650	78.3884

 
