   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	40600	11673	4988	7840	2283	2765	1267	1043	2310	31859	78.4704
Barura	11886	4139	834	2677	570	487	235	518	753	9460	79.5894
Laksham	8526	3725	614	1355	130	117	84	623	707	6648	77.9733
Burichong	12669	4983	1515	1891	638	602	312	497	809	10438	82.3901
Muradnagar	8293	2363	800	1524	715	132	111	454	565	6099	73.5440
Daudkandi	7652	2326	721	1817	527	232	67	539	606	6229	81.4036
Chandina	15773	5744	1719	3395	652	281	296	710	1006	12797	81.1323
Nangolkot	9615	2768	804	2157	505	266	27	942	969	7469	77.6807
Titash	4691	1480	1088	1078	153	53	22	147	169	4021	85.7173
Comilla Sadar South	2572	1056	248	531	113	23	18	83	101	2072	80.5599
Monohargonj	1591	755	105	185	35	5	8	135	143	1228	77.1842

 
