   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:46
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	24633	6481	2223	5369	585	1649	288	3406	3694	20001	81.1960
Mohanpur	13240	5548	604	2824	273	522	233	1205	1438	11209	84.6601
Puthiya	4579	1454	474	854	111	159	49	735	784	3836	83.7737
Bagmara	15018	2238	3203	3469	945	799	586	1420	2006	12660	84.2988
Charghat	4491	1523	529	810	90	198	32	533	565	3715	82.7210
Boalia	86980	33744	20864	13180	665	1124	411	3668	4079	73656	84.6815
Tanore	4095	1619	587	203	42	383	125	453	578	3412	83.3211
Godagari	19502	6454	1559	3756	531	508	477	3286	3763	16571	84.9708

 
