   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:53
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18707	6680	1581	2909	1125	997	565	1127	1692	14984	80.0984
Bhariab Bazar	26594	12378	1119	3825	1093	1548	280	1597	1877	21840	82.1238
Austagram	10701	3812	916	2099	416	313	196	1058	1254	8810	82.3288
Kishoreganj Sadar	4810	1124	743	419	527	740	40	442	482	4035	83.8877
Hossainpur	11092	3312	966	2030	941	789	147	789	936	8974	80.9052
Nikli	8553	3647	614	1002	818	252	31	818	849	7182	83.9705
Pakundia	13293	5388	1111	2049	607	732	432	565	997	10884	81.8777
Itna	7409	4010	901	956	51	36	60	58	118	6072	81.9544
Kuliarchar	10496	4317	308	1349	779	705	323	844	1167	8625	82.1742
Tarail	10312	5347	820	633	329	481	229	388	617	8227	79.7808
Karimganj	11493	4796	903	1246	684	563	338	657	995	9187	79.9356

 
