   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17581	5876	1527	3668	858	745	491	888	1379	14053	79.9329
Bhariab Bazar	24936	12017	3216	2629	775	983	221	1035	1256	20876	83.7183
Austagram	8015	3048	485	1585	717	88	133	410	543	6466	80.6737
Kishoreganj Sadar	4288	1558	1026	408	136	259	30	155	185	3572	83.3022
Hossainpur	10965	4352	700	1645	787	560	136	669	805	8849	80.7022
Nikli	8314	4047	674	454	1146	147	27	455	482	6950	83.5939
Pakundia	8229	3747	627	1259	243	382	226	227	453	6711	81.5530
Itna	11419	5898	1198	1260	494	93	226	242	468	9411	82.4153
Kuliarchar	12159	5602	802	1258	729	802	286	632	918	10111	83.1565
Tarail	9109	4477	1434	238	416	206	169	333	502	7273	79.8441
Karimganj	11015	4894	813	1298	627	441	304	584	888	8961	81.3527

 
