   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:28
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	22608	7379	3876	4437	564	192	246	863	1109	17557	77.6584
Barura	85455	5760	1082	2240	293	146	109	918	1027	10548	12.3433
Laksham	3947	1422	319	1018	60	21	6	107	113	2953	74.8163
Burichong	14669	6109	1389	2059	383	229	158	648	806	10975	74.8176
Muradnagar	10620	5009	1028	1168	280	29	115	554	669	8183	77.0527
Daudkandi	6053	1684	890	1428	180	103	26	308	334	4619	76.3093
Chandina	16449	5302	1631	3438	480	221	264	637	901	11973	72.7886
Nangolkot	14903	4316	2232	2642	410	181	7	586	593	10374	69.6101
Titash	4338	1257	880	828	36	31	21	119	140	3172	73.1213
Monohargonj	2848	988	348	690	7	6	3	31	34	2073	72.7879

 
