   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:48
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	21142	5981	3927	2821	1102	1420	701	1165	1866	17117	80.9621
Boalmari	11262	3621	1348	1304	1214	213	347	761	1108	8808	78.2099
Char Bhadrashion	2579	528	288	383	248	361	60	267	327	2135	82.7840
Nagarkanda	3321	849	584	667	154	276	148	77	225	2755	82.9569
Sadarpur	2966	825	260	314	124	141	25	183	208	1872	63.1153
Alphadanga	8337	3030	854	1142	862	30	236	408	644	6562	78.7094
Modhukhali	6756	2799	512	888	126	150	113	501	614	5089	75.3256
Saltha	5880	1773	919	920	363	275	195	212	407	4657	79.2007

 
