   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:22
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17897	7773	1445	2305	475	153	321	600	921	13072	73.0402
Bhariab Bazar	24916	12314	3691	1889	423	119	139	536	675	19111	76.7017
Austagram	10650	6082	455	1000	359	0	1	144	145	8041	75.5023
Kishoreganj Sadar	1700	827	389	125	35	4	8	21	29	1409	82.8824
Hossainpur	11579	4021	881	2013	594	237	117	599	716	8462	73.0806
Nikli	9037	3785	924	1052	1048	21	23	340	363	7193	79.5950
Pakundia	12919	4437	1154	2182	646	150	143	287	430	8999	69.6571
Itna	12458	6727	1362	1157	156	16	178	195	373	9791	78.5921
Kuliarchar	12080	4306	1580	1460	453	108	182	416	598	8505	70.4056
Tarail	8946	5027	795	288	0	0	80	260	340	6450	72.0993
Karimganj	13824	5416	775	2254	525	152	276	461	737	9859	71.3180

 
