   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:48
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	24251	7654	4057	3356	1122	728	594	1131	1725	18642	76.8711
Barura	11829	4493	913	2459	426	388	219	510	729	9408	79.5334
Laksham	4736	2100	314	1031	56	45	53	211	264	3810	80.4476
Burichong	12587	4965	1697	1888	523	539	290	491	781	10393	82.5693
Muradnagar	8275	2395	823	1591	612	117	111	448	559	6097	73.6798
Daudkandi	6851	2111	618	1623	402	268	37	430	467	5489	80.1197
Chandina	18567	6260	1763	3936	643	307	442	892	1334	14243	76.7114
Nangolkot	4796	1496	530	892	210	165	3	382	385	3678	76.6889
Titash	4577	1451	1066	1054	128	51	22	142	164	3914	85.5145
Comilla Sadar South	2557	1244	174	558	65	19	18	70	88	2148	84.0047
Monohargonj	1591	769	117	225	19	4	7	134	141	1275	80.1383

 
