   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:51
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Daulatkhan	11187	1923	957	4810	606	436	145	167	312	9044	80.8438
Tajumuddin	8208	1299	500	3592	433	358	177	115	292	6474	78.8743
Lalmohan	17890	4586	1270	6577	682	686	520	537	1057	14858	83.0520
Charfashion	32201	11131	1784	9414	1218	1559	475	619	1094	26200	81.3639
Monpura	7460	1005	450	3207	545	162	119	130	249	5618	75.3083

 
