   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:51
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	25014	7099	4802	3196	1229	1563	760	1376	2136	20025	80.0552
Boalmari	11298	3506	1275	1263	1226	257	347	763	1110	8637	76.4472
Char Bhadrashion	2639	540	289	385	257	393	62	273	335	2199	83.3270
Nagarkanda	3353	847	590	662	165	304	159	95	254	2822	84.1634
Sadarpur	3006	841	244	280	132	153	24	204	228	1878	62.4750
Alphadanga	8770	3162	931	1210	919	65	246	444	690	6977	79.5553
Modhukhali	6800	2697	477	1257	155	170	113	505	618	5374	79.0294
Saltha	5930	1797	962	968	383	311	197	217	414	4835	81.5346

 
