   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:42
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Parshuram	4276	1617	361	657	268	116	10	296	306	3325	77.7596
Chhagalnaiya	7871	3016	305	1201	462	179	13	672	685	5848	74.2981
Feni Sadar	10403	3002	1216	2500	618	195	44	797	841	8372	80.4768
Sonagazi	8506	2468	429	2292	400	208	47	1020	1067	6864	80.6960
Dagonbhuiyan	5589	1729	520	987	393	111	44	743	787	4527	80.9984
Fulgazi	3550	1352	328	576	159	77	24	276	300	2792	78.6479

 
