   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	23135	7600	4336	4628	769	261	214	837	1051	18645	80.5922
Barura	13281	5701	834	2256	253	103	99	912	1011	10158	76.4852
Laksham	11192	4011	1019	2746	83	48	24	236	260	8167	72.9718
Burichong	12199	5042	1149	1622	327	109	104	541	645	8894	72.9076
Muradnagar	10490	5536	1001	1114	243	28	114	548	662	8584	81.8303
Daudkandi	6036	1617	858	1349	180	100	26	308	334	4438	73.5255
Chandina	16433	5661	1784	3519	459	220	258	611	869	12512	76.1395
Nangolkot	14878	4313	2162	2600	410	178	6	576	582	10245	68.8601
Titash	4658	1141	755	711	36	31	21	128	149	2823	60.6054

 
