   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:53
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	24286	7330	3845	2991	1393	1035	694	1267	1961	18555	76.4020
Barura	11876	4186	840	2646	537	472	231	517	748	9429	79.3954
Laksham	8499	3717	602	1389	115	114	81	619	700	6637	78.0915
Burichong	12620	4933	1602	1881	607	592	310	493	803	10418	82.5515
Muradnagar	8289	2374	826	1575	688	127	111	453	564	6154	74.2430
Daudkandi	7651	2320	724	1815	519	230	67	537	604	6212	81.1920
Chandina	15755	5779	1712	3409	631	278	296	705	1001	12810	81.3075
Nangolkot	9596	2763	803	2144	491	255	27	942	969	7425	77.3760
Titash	4657	1466	1077	1068	148	53	22	145	167	3979	85.4413
Comilla Sadar South	2571	1060	201	556	95	21	18	76	94	2027	78.8409
Monohargonj	1591	743	98	196	30	5	7	134	141	1213	76.2414

 
