   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:36
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	21235	7059	4047	2820	637	383	301	875	1176	16122	75.9218
Barura	9540	3403	833	1877	303	237	163	562	725	7378	77.3375
Burichong	12493	4872	1642	1855	347	366	208	471	679	9761	78.1318
Muradnagar	7748	2386	757	1417	399	44	99	351	450	5453	70.3795
Daudkandi	9561	2875	1251	1972	325	175	36	744	780	7378	77.1677
Chandina	16415	5434	1814	3554	553	230	275	659	934	12519	76.2656
Nangolkot	10215	3496	1410	1694	506	203	8	541	549	7858	76.9261
Meghna	3995	1573	333	775	38	44	2	208	210	2973	74.4180
Titash	4417	1322	972	940	76	43	22	127	149	3502	79.2846
Comilla Sadar South	2536	1027	151	591	37	20	14	112	126	1952	76.9716

 
