ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism
47,17,-9,-9,-9,-9,Dacope Upazila Total,152316,1.6,0.2,0.3,0.2,0.7,0.2,0.1
47,17,-9,-9,-9,1,  Dacope Upazila,138128,1.6,0.2,0.3,0.2,0.7,0.2,0.1
47,17,-9,-9,-9,2,  Dacope Upazila,14188,1.7,0.2,0.2,0.2,0.7,0.3,0.1
0.1,47,17,-9,-9,-9,Chalna Paurashava,14188,1.7,0.2,0.2,0.2,0.7,0.3,0.1
47,17,01,-9,-9,-9,  Ward No-01 Total,976,2.0,0.1,0.5,0.4,0.7,0.2,0.1
47,17,02,-9,-9,-9,  Ward No-02 Total,1341,1.7,0.4,0.4,0.0,0.6,0.3,0.1
47,17,03,-9,-9,-9,  Ward No-03 Total,1596,1.4,0.1,0.0,0.0,1.1,0.1,0.1
47,17,04,-9,-9,-9,  Ward No-04 Total,1220,1.1,0.2,0.1,0.5,0.2,0.0,0.2
47,17,05,-9,-9,-9,  Ward No-05 Total,1411,0.4,0.0,0.1,0.0,0.0,0.3,0.1
47,17,06,-9,-9,-9,  Ward No-06 Total,1033,1.2,0.3,0.1,0.0,0.8,0.0,0.0
47,17,07,-9,-9,-9,  Ward No-07 Total,1876,1.0,0.3,0.0,0.2,0.5,0.0,0.1
47,17,08,-9,-9,-9,  Ward No-08 Total,2717,2.9,0.1,0.4,0.3,0.9,0.9,0.3
47,17,09,-9,-9,-9,  Ward No-09 Total,2018,2.5,0.0,0.2,0.2,1.2,0.6,0.1
47,17,10,-9,-9,-9,  Bajua Union Total,15753,1.1,0.2,0.2,0.1,0.4,0.2,0.0
47,17,13,-9,-9,-9,  Banishanta Union Total,14606,1.9,0.2,0.1,0.1,1.2,0.2,0.1
47,17,21,-9,-9,-9,  Laudubi Union Total,9222,0.8,0.1,0.1,0.1,0.2,0.2,0.1
47,17,42,-9,-9,-9,  Dacope Union Total,7047,1.4,0.1,0.2,0.2,0.6,0.2,0.1
47,17,52,-9,-9,-9,  Kailasganj Union Total,14516,1.7,0.2,0.3,0.3,0.6,0.3,0.0
47,17,63,-9,-9,-9,  Kamarkhola Union Total,13897,1.7,0.2,0.4,0.1,0.6,0.3,0.1
47,17,69,-9,-9,-9,  Pankhali Union Total,15570,2.1,0.2,0.4,0.2,0.9,0.3,0.1
47,17,73,-9,-9,-9,  Sutarkhali Union Total,30060,1.9,0.2,0.3,0.2,0.9,0.2,0.1
47,17,84,-9,-9,-9,  Tildanga Union Total,17006,1.4,0.2,0.3,0.1,0.5,0.2,0.1
