   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:50
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Langadu	16268	5672	1591	2132	263	1447	685	789	1474	12579	77.3236
Kawkhali	11167	3931	677	1809	390	829	168	665	833	8469	75.8395
Rangamati Sadar	19231	7258	1494	2734	1448	1448	532	835	1367	15749	81.8938
Baghaichhari	11564	5641	749	1279	512	363	31	548	579	9123	78.8914
Barkal	7064	2874	296	1117	293	127	204	274	478	5185	73.4003
Naniarchar	8887	3692	448	1057	317	667	381	540	921	7102	79.9145
Jurachhari	4204	2005	189	505	181	88	163	134	297	3265	77.6641
Kaptai	10901	3937	966	2044	292	541	100	822	922	8702	79.8275
Rajasthali	4667	1828	98	686	199	452	210	211	421	3684	78.9372
Belaichhari	4688	2050	87	674	157	256	31	236	267	3491	74.4667

 
