   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:18
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bagerhat Sadar	51532	23269	3563	7633	2096	1469	1571	3182	4753	42783	83.0222
Fakirhat	28909	12486	1907	4409	1559	323	332	2454	2786	23470	81.1858
Sarankhola	19943	7556	802	4062	956	208	824	636	1460	15044	75.4350
Morralganj	57627	23478	1925	5716	2556	528	2633	2883	5516	39719	68.9243
Kachua	19297	7980	1399	2312	1057	505	867	1093	1960	15213	78.8361
Mollahat	24118	10530	1394	2488	1646	198	442	1201	1643	17899	74.2143
Rampal	32361	15840	1719	2202	1007	305	1304	1584	2888	23961	74.0428
Chitalmari	24223	7624	1410	4190	1511	428	520	1442	1962	17125	70.6973
Mongla	28515	13478	1914	3822	447	591	1412	1283	2695	22947	80.4734

 
