   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:27
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	13627	4640	1032	1729	688	341	246	956	1202	9632	70.6832
Gowainghat	41603	10399	2610	6664	2117	408	979	2954	3933	26131	62.8104
Jakiganj	29735	7887	3061	3829	1766	452	847	1080	1927	18922	63.6354
Jaintapur	22834	6581	2036	4142	1165	175	452	796	1248	15347	67.2112
Balaganj	45021	12330	4200	7208	1786	999	355	2659	3014	29537	65.6072
Golapganj	39679	11853	4684	3598	1200	846	515	2666	3181	25362	63.9179
Sylhet Sadar	76797	26510	7617	7766	1506	1806	611	3423	4034	49239	64.1158
Biani Bazar	30296	8134	3190	3623	2755	263	626	1178	1804	19769	65.2528
Kanaighat	44196	11277	3666	6931	3018	544	1589	763	2352	27788	62.8745
Biswanath	25531	9392	1965	2963	1174	425	195	1911	2106	18025	70.6004
Companiganj	21668	6286	1947	3718	822	587	84	957	1041	14401	66.4621
South Shurma	44351	13921	3561	5846	1164	891	334	2510	2844	28227	63.6446

 
