   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:28
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kazipur	54895	21163	3156	10902	2021	634	1158	2987	4145	42021	76.5480
Rayganj	64695	31623	2184	9642	2095	548	1479	2086	3565	49657	76.7555
Tarash	43555	21645	1419	5744	981	680	1499	1106	2605	33074	75.9362
Sirajganj Sadar	89482	37578	7458	16271	2536	626	1525	2191	3716	68185	76.1997
Kamarkhand	27290	11619	1328	4936	1176	371	320	896	1216	20646	75.6541
Chouhali	21935	10075	1273	3587	851	396	268	419	687	16869	76.9045
Ullahpara	121363	51981	6594	23371	2881	1431	2184	4173	6357	92615	76.3124
Belkuchi	57536	27769	4486	5470	1868	244	749	1104	1853	41690	72.4590
Shazadpur	118770	44634	7208	25154	3748	874	433	3358	3791	85409	71.9113

 
