   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:30
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gopalganj Sadar	56784	21835	6650	5480	1850	771	268	5015	5283	41869	73.7338
Muksudpur	54128	23855	4930	6075	1531	379	811	3412	4223	40993	75.7334
Tungipara	19792	8537	2372	2502	610	64	302	1185	1487	15572	78.6783
Kotalipara	41767	17914	1935	3846	1606	1139	95	5015	5110	31550	75.5381
Kasiani	42907	17541	4508	4221	1088	782	320	3460	3780	31920	74.3935

 
