   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:16
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Tala	63756	27632	2266	11860	1492	1322	984	4371	5355	49927	78.3095
Satkhira Sadar	92136	36600	7098	14371	2747	1466	2492	6865	9357	71639	77.7535
Kolaroa	50884	21140	2794	7717	1207	774	1402	3597	4999	38631	75.9197
Debhata	26230	11934	1302	2921	280	249	501	2062	2563	19249	73.3854
Shyamnagar	69003	35998	1861	5485	1668	601	2937	4953	7890	53503	77.5372
Kaliganj	57121	27803	2679	4950	1125	891	1370	5108	6478	43926	76.8999
Asasuni	56742	28084	1799	5692	1064	1109	1057	4270	5327	43075	75.9138

 
