   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:29
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	44015	14062	1038	8556	1496	230	303	2789	3092	28474	64.6916
Matlab (South)	41053	11928	1672	9392	632	252	319	2325	2644	26520	64.5994
Hajiganj	57777	21122	1881	10782	1456	495	355	3114	3469	39205	67.8557
Chandpur Sadar	65835	23678	1653	12420	1407	650	692	4068	4760	44568	67.6965
Kachua	72897	24959	2669	13385	1324	560	893	4233	5126	48023	65.8779
Faridganj	77211	28974	3283	12049	1469	663	418	5147	5565	52003	67.3518
Hemchar	17912	6971	460	2768	505	322	99	1437	1536	12562	70.1318
Motlab (North)	54537	18540	1972	7873	1031	329	196	5979	6175	35920	65.8635

 
