   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:58
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	59313	22336	3819	9173	2684	3091	1697	5157	6854	47957	80.8541
Bhariab Bazar	55506	22488	2842	8610	2078	3211	907	4870	5777	45006	81.0831
Austagram	29163	10802	2048	4901	1225	1208	404	3164	3568	23752	81.4457
Kishoreganj Sadar	70824	31096	4576	9358	2295	3671	2628	4579	7207	58203	82.1798
Hossainpur	36790	16351	1888	4371	1540	2043	495	2430	2925	29118	79.1465
Nikli	26426	10814	1635	2878	1517	1331	207	3066	3273	21448	81.1625
Bazitpur	44077	19692	3469	4325	975	1542	1162	2878	4040	34043	77.2353
Pakundia	42035	17819	3050	5164	1595	2185	1733	2292	4025	33838	80.4996
Itna	32265	16733	2156	2622	675	958	703	2595	3298	26442	81.9526
Kuliarchar	33216	13635	1367	4287	1226	2399	1272	2484	3756	26670	80.2926
Tarail	29000	13671	1695	2460	805	1347	689	1842	2531	22509	77.6172
Karimganj	52711	23342	3052	5802	1912	3010	1328	3707	5035	42153	79.9700
Mithamoin	23605	10068	1573	2477	890	666	853	1841	2694	18368	77.8140

 
