   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:50
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Pirganj	50205	20735	1417	9729	289	839	2984	3852	6836	39845	79.3646
Haripur	30768	12458	727	5703	104	851	2126	2379	4505	24348	79.1342
Thakurgaon Sadar	129002	51457	5508	24339	1043	4530	9393	8850	18243	105120	81.4871
Baliadangi	42841	14412	849	11732	346	416	2889	3223	6112	33867	79.0528
Ranisankail	47658	17732	910	9828	395	2015	3674	3945	7619	38499	80.7818

 
