   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:33
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	44541	14875	1379	9243	1486	196	320	3057	3377	30556	68.6020
Matlab (South)	40614	12918	2178	10019	631	350	344	2397	2741	28837	71.0026
Hajiganj	57978	21893	1918	11564	1552	504	407	3279	3686	41117	70.9183
Chandpur Sadar	66716	25259	2184	13238	1578	1219	774	4199	4973	48451	72.6228
Kachua	73603	25601	3381	14326	1352	750	971	4425	5396	50806	69.0271
Faridganj	77889	30507	3796	12866	1582	985	468	5334	5802	55538	71.3040
Hemchar	18100	7113	515	3051	575	345	110	1508	1618	13217	73.0221
Motlab (North)	55624	20095	2575	8992	1197	438	230	6281	6511	39808	71.5662

 
