   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:27
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kutubdia	21728	7260	522	6944	424	69	81	510	591	15810	72.7633
Moheshkhali	47272	19252	1062	6338	794	232	1132	1647	2779	30457	64.4293
Coxs Bazar Sadar	67591	22679	4652	10235	2323	1316	1832	2461	4293	45498	67.3137
Ramu	38668	11275	1974	8434	2118	312	1486	1643	3129	27242	70.4510
Chakaria	65840	25660	2537	13999	1990	297	129	2843	2972	47455	72.0762
Ukhiya	13555	5856	594	1741	188	83	133	423	556	9018	66.5290
Teknaf	30591	8624	949	7082	318	348	368	682	1050	18371	60.0536
Pekua	14126	5131	330	2511	406	47	112	787	899	9324	66.0059

 
