   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:28
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Tala	64850	28193	2444	12922	1773	915	1366	4771	6137	52384	80.7772
Satkhira Sadar	94477	35612	5831	15554	3641	1775	3536	8100	11636	74049	78.3778
Kolaroa	51524	20566	3070	8700	1192	581	1700	4464	6164	40273	78.1636
Debhata	26875	12311	1468	3115	366	310	699	2417	3116	20686	76.9712
Shyamnagar	69473	35301	1916	6964	1785	1071	3570	5331	8901	55938	80.5176
Kaliganj	59381	27900	2714	6308	1107	873	1566	6154	7720	46622	78.5133
Asasuni	56708	28599	1608	6859	1043	859	1214	4864	6078	45046	79.4350

 
