   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:54
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Barisal Sadar	81776	30980	6977	13672	1563	3477	1550	3408	4958	61627	75.3607
Uzirpur	45732	18945	2241	5798	1114	2631	726	3569	4295	35024	76.5853
Bakerganj	64030	24077	3821	10357	2559	1580	1623	5354	6977	49371	77.1060
Babuganj	26280	10350	1275	3612	698	1126	608	1586	2194	19255	73.2686
Mehendiganj	49225	16446	4018	9089	1680	1668	2336	1605	3941	36842	74.8441
Gournadi	35426	14545	1785	5068	973	1409	424	3580	4004	27784	78.4283
Muladi	30071	9639	2067	7003	1345	715	444	1338	1782	22551	74.9925
Hizla	24511	7297	2175	7194	997	450	676	626	1302	19415	79.2093
Agailjhara	27854	11850	1526	2559	792	1035	385	3187	3572	21334	76.5922
Banaripara	28692	11255	1212	3017	1244	2003	511	2011	2522	21253	74.0729

 
