   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Azmiriganj	17812	7711	999	1729	418	134	142	2328	2470	13461	75.5726
Bahubal	31529	13270	2553	3196	1429	454	768	2084	2852	23754	75.3402
Madhabpur	56814	27791	3743	4765	2609	991	2289	3654	5943	45842	80.6879
Lakhai	25952	10494	2496	3541	502	129	132	1961	2093	19255	74.1947
Habiganj Sadar	54364	24138	4279	6388	2145	803	1845	4122	5967	43720	80.4209
Baniachhong	49915	19809	4859	5964	1681	123	1394	2823	4217	36653	73.4308
Chunarughat	55202	24338	3258	6412	2423	776	2788	3342	6130	43337	78.5062
Nabiganj	50911	19331	2047	7990	3895	1350	2506	2824	5330	39943	78.4565

 
