   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:46
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gobindaganj	117840	55267	5472	16295	2498	3086	4592	6595	11187	93805	79.6037
Sundarganj	102495	39855	3494	22957	3130	3976	3802	5290	9092	82504	80.4956
Fulchhari	36063	11752	1613	8811	1417	1999	1274	1969	3243	28835	79.9573
Sadullahpur	69474	27129	3262	13408	2905	2413	3968	3832	7800	56917	81.9256
Palashbari	58909	23502	2286	9664	2045	3253	4007	3170	7177	47927	81.3577
Shaghata	55628	25283	1876	7789	1284	1495	1521	4347	5868	43595	78.3688
Gaibandha Sadar	99979	39168	4356	18914	2091	4555	2562	7451	10013	79097	79.1136

 
