   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Patuakhali Sadar	69285	22939	3731	15691	2221	4324	2012	3457	5469	54375	78.4802
Kalapara	52286	18563	1287	13663	1224	2722	2486	2058	4544	42003	80.3332
Mirzaganj	24296	9621	1390	3462	825	1765	761	1551	2312	19375	79.7456
Golachipa	80098	28920	2127	19952	919	4522	1916	4857	6773	63213	78.9196
Bauphal	69196	27231	2576	15142	1744	2476	1202	3775	4977	54146	78.2502
Dashmina	26203	7926	766	6500	961	2429	1026	1162	2188	20770	79.2657
Dumki	13316	4877	646	2578	447	899	572	782	1354	10801	81.1129

 
