   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:44
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Senbag	50611	18663	4076	7837	1249	466	487	3938	4425	36716	72.5455
Begumganj	101623	37932	6935	16665	3611	816	847	8595	9442	75401	74.1968
Companiganj	45549	16092	3268	6617	1959	626	859	2643	3502	32064	70.3945
Sudharam (Sadar)	87792	28491	8325	17240	1777	1633	1106	6335	7441	64907	73.9327
Hatiya	61603	21361	2595	15233	851	303	1963	1424	3387	43730	70.9868
Chatkhil	43619	15902	2173	5643	1733	831	297	3229	3526	29808	68.3372
Subarna Char	35998	11168	4192	5875	489	1376	912	2425	3337	26437	73.4402
Sonaimuri	59349	24042	4303	7904	1938	475	329	5312	5641	44303	74.6483
Kabirhat	29063	10565	1781	4372	748	361	191	2499	2690	20517	70.5949

 
