   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	45768	15981	1636	10264	1588	468	379	3417	3796	33733	73.7043
Matlab (South)	41140	13612	2367	10082	662	361	424	2667	3091	30175	73.3471
Hajiganj	59618	23345	2068	12778	1688	805	485	3673	4158	44842	75.2155
Chandpur Sadar	68313	26631	2568	13936	2034	1941	994	4591	5585	52695	77.1376
Kachua	75327	26476	3967	15257	1728	1695	1200	4962	6162	55285	73.3933
Faridganj	79697	31781	4527	13803	1707	1578	545	5789	6334	59730	74.9464
Hemchar	18495	7350	595	3337	594	402	185	1587	1772	14050	75.9665
Motlab (North)	56938	21094	2908	9313	1342	1122	274	6637	6911	42690	74.9763

 
