   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	92215	32568	17379	11689	2461	4840	2849	4147	6996	75933	82.3434
Dumuria	63743	24622	4141	10225	1365	3145	2718	5760	8478	51976	81.5399
Khulna Sadar	75605	26635	10813	9520	2238	3540	3770	3207	6977	59723	78.9935
Dacope	30836	14818	1196	3503	217	1643	622	2783	3405	24782	80.3671
Terokhada	25972	10005	2271	2718	1026	1437	940	1535	2475	19932	76.7442
Fultala	27365	8907	3201	4725	638	975	1398	2033	3431	21877	79.9452
Batiaghata	37996	15978	2674	5119	1536	1358	1650	1677	3327	29992	78.9346
Paikgachha	57222	23543	1638	8046	1057	2979	1822	6081	7903	45166	78.9312
Rupsha	37361	14912	2678	4297	1407	1917	1870	3103	4973	30184	80.7901
Koyra	40325	20427	1487	3512	591	1378	1396	2630	4026	31421	77.9194

 
