   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Boda	54555	22659	1210	8665	871	4070	3264	3547	6811	44286	81.1768
Panchgarh Sadar	58200	24351	2089	10775	656	2129	2633	2987	5620	45620	78.3849
Tetulia	27547	13762	1142	3573	722	959	820	1270	2090	22248	80.7638
Atowari	29012	13336	745	3720	737	1015	2495	1832	4327	23880	82.3108
Debiganj	51244	20323	1467	11275	1048	1823	3704	2411	6115	42051	82.0603

 
