   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bochaganj	33781	14034	1311	3999	358	771	2023	4328	6351	26824	79.4056
Kaharole	34576	13220	518	4196	673	909	1982	5520	7502	27018	78.1409
Fulbari	36110	14947	1523	2200	519	1442	3584	4206	7790	28421	78.7067
Khanshama	39040	15835	607	5930	427	1112	2027	4639	6666	30577	78.3222
Dinajpur Sadar	96031	36955	6033	12255	1292	2423	8498	8825	17323	76281	79.4337
Hakimpur	19557	7894	1474	2162	350	560	2080	1065	3145	15585	79.6901
Birganj	68112	27985	1587	7664	441	3235	3739	8874	12613	53525	78.5838
Ghoraghat	25414	11896	1245	2225	711	704	1784	1837	3621	20402	80.2786
Birol	54833	23485	1544	5459	1095	1626	2968	7633	10601	43810	79.8971
Chirir Bandar	63308	27958	1676	6834	558	887	4220	8556	12776	50689	80.0673
Parbatipur	82079	32901	4313	9955	1042	1722	8084	9266	17350	67283	81.9735
Nawabganj	48856	21245	1429	6443	878	891	3951	3113	7064	37950	77.6773
Birampur	36033	15108	1454	2680	1215	959	4823	2713	7536	28952	80.3486

 
