   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Boda	51700	21728	885	8160	876	3599	3282	3521	6803	42051	81.3366
Panchgarh Sadar	54954	23799	1723	10653	869	1937	1995	2616	4611	43592	79.3245
Tetulia	26089	12251	846	3114	994	1319	813	1619	2432	20956	80.3250
Atowari	28631	13188	630	2965	664	1085	2339	2128	4467	22999	80.3290
Debiganj	47951	18972	1189	10186	940	1341	3672	2702	6374	39002	81.3372

 
