   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jaldhaka	76415	28915	1412	15482	593	2938	4732	7237	11969	61309	80.2316
Domar	55502	22102	1384	10283	851	2165	2814	6018	8832	45617	82.1898
Syadpur	56083	23640	4697	6703	1376	2607	1539	4901	6440	45463	81.0638
Dimla	60386	24383	1105	12664	476	1801	2853	5065	7918	48347	80.0633
Nilphamari Sadar	101350	40223	3105	18257	1677	3071	6548	9810	16358	82691	81.5895
Kishoreganj	54738	21251	579	7952	612	2746	3135	7010	10145	43285	79.0767

 
