   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:42
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhola Sadar	82249	26652	3348	22885	1072	2421	1766	1916	3682	60060	73.0222
Daulatkhan	33040	7208	1105	12063	905	1033	481	715	1196	23510	71.1562
Tajumuddin	24057	5142	699	8709	580	565	692	923	1615	17310	71.9541
Borhanuddin	48053	15473	802	13431	588	1360	1033	1165	2198	33852	70.4472
Lalmohan	60521	16881	2005	19218	1132	1762	1744	2330	4074	45072	74.4733
Charfashion	87085	25236	2793	26026	1633	2874	1566	1965	3531	62093	71.3016
Monpura	15222	2407	436	6461	428	175	231	342	573	10480	68.8477

 
