   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:05
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Rajoir	47444	19359	3683	8002	1518	2095	191	3667	3858	38515	81.1799
Kalkini	54741	21399	3497	8474	1819	3981	1285	3408	4693	43863	80.1282
Shibchar	58738	24042	5717	7806	1779	4494	514	2452	2966	46804	79.6827
Madaripur Sadar	70583	24510	3905	13965	2832	5496	812	5429	6241	56949	80.6837

 
