   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	92027	30562	13309	11951	2336	3569	1949	9075	11024	72751	79.0540
Boalmari	54758	20343	4562	7176	2908	1215	1312	4350	5662	41866	76.4564
Bhanga	54221	19521	4367	4809	3468	1647	1191	6804	7995	41807	77.1048
Char Bhadrashion	13275	3972	1962	1415	552	840	166	1272	1438	10179	76.6780
Nagarkanda	35556	13617	4184	4054	1092	1204	835	2638	3473	27624	77.6915
Sadarpur	34213	11601	3886	3965	919	1216	226	2983	3209	24796	72.4754
Alphadanga	22280	7864	2156	3678	1259	430	591	1578	2169	17556	78.7971
Modhukhali	44421	18311	3560	6026	1011	1290	953	4359	5312	35510	79.9397
Saltha	34032	12665	3284	4960	1092	1137	735	2234	2969	26107	76.7131

 
