   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:54
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Durgapur	43870	17228	5712	4821	372	1556	537	6181	6718	36407	82.9884
Poba (Sadar)	73427	18881	7340	15140	1061	3617	907	13644	14551	60590	82.5173
Mohanpur	38984	15376	2596	7330	504	1676	842	3651	4493	31975	82.0208
Puthiya	48019	17361	5613	6722	467	1283	368	7467	7835	39281	81.8030
Bagmara	91395	37580	7810	12961	2087	3060	2909	7438	10347	73845	80.7976
Charghat	48027	17823	5457	6876	962	1566	492	5883	6375	39059	81.3272
Boalia	101309	35792	25313	15763	897	1714	549	5341	5890	85369	84.2660
Tanore	43371	17284	2629	4893	440	2262	1257	5827	7084	34592	79.7584
Godagari	69457	20777	4657	11505	1435	1519	12330	2238	14568	54461	78.4097
Bagha	41255	13024	4834	8272	324	1109	294	4874	5168	32731	79.3383

 
