   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:19
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Barisal Sadar	79435	27322	4989	12384	1394	1493	1006	3653	4659	52241	65.7657
Uzirpur	45226	18402	1359	5481	1046	550	509	3755	4264	31102	68.7702
Bakerganj	60209	21415	2553	6997	2680	387	915	5877	6792	40824	67.8038
Babuganj	28677	10591	1176	4078	1129	414	477	1631	2108	19496	67.9848
Mehendiganj	54155	19256	3698	6404	1899	528	1730	2684	4414	36199	66.8433
Gournadi	34052	13860	1152	3312	872	365	228	3298	3526	23087	67.7992
Muladi	33211	12046	2506	4865	1657	276	216	1475	1691	23041	69.3776
Hizla	22341	7830	1418	3616	734	183	277	603	880	14661	65.6237
Agailjhara	27530	11481	1262	2118	1110	288	160	3804	3964	20223	73.4580
Banaripara	27378	11277	990	2747	1291	206	188	1808	1996	18507	67.5981

 
