   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:30
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Harinakunda	42121	19829	792	3937	508	813	60	5474	5534	31413	74.5780
Moheshpur	72310	27350	3425	13884	2080	882	371	8179	8550	56171	77.6808
Jhenaidaha Sadar	94371	44067	6599	12844	1582	986	522	8962	9484	75562	80.0691
Kotchandpur	31230	12779	1366	4897	752	486	194	3607	3801	24081	77.1085
Kaliganj	59903	27435	2608	5880	987	687	478	6987	7465	45062	75.2249
Sailkupa	78379	34803	4202	5923	926	999	833	11551	12384	59237	75.5776

 
