   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	13556	4599	1009	1694	685	386	232	912	1144	9517	70.2051
Gowainghat	41323	10397	2585	6626	2096	439	947	2754	3701	25844	62.5414
Jakiganj	30015	8566	3441	4447	1883	481	599	972	1571	20389	67.9294
Jaintapur	22851	6704	2127	4235	1204	187	404	758	1162	15619	68.3515
Balaganj	43568	11780	3965	7136	1749	947	288	2285	2573	28150	64.6116
Golapganj	40220	12241	4891	3863	1233	983	459	2489	2948	26159	65.0398
Sylhet Sadar	73779	24587	7054	7304	1421	1792	547	3151	3698	45856	62.1532
Biani Bazar	31349	8223	3264	3768	2831	319	568	1042	1610	20015	63.8457
Kanaighat	41799	10684	3359	6753	2911	550	1346	661	2007	26264	62.8340
Biswanath	25487	9428	1891	2932	1119	454	169	1587	1756	17580	68.9763
Companiganj	21513	6372	1904	3625	850	598	80	885	965	14314	66.5365
South Shurma	43912	13558	3340	5533	1135	868	292	2317	2609	27043	61.5845

 
