   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:04
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	93804	31823	16701	11278	3243	6870	2947	4683	7630	77545	82.6671
Dumuria	64702	24693	4408	10320	1384	3901	2637	5830	8467	53173	82.1814
Khulna Sadar	75699	22808	14298	9991	2396	3810	3728	3441	7169	60472	79.8848
Dacope	31245	14626	1217	3410	256	2308	611	2805	3416	25233	80.7585
Terokhada	26070	9884	2257	2751	1041	1680	948	1626	2574	20187	77.4338
Fultala	27753	8657	3230	4392	798	1460	1420	2209	3629	22166	79.8688
Batiaghata	38656	16320	2826	5082	1513	2048	1622	1753	3375	31164	80.6188
Paikgachha	58036	23924	1725	8116	1175	3327	1843	6321	8164	46431	80.0038
Rupsha	37998	14284	2819	4095	1386	2038	1917	3400	5317	29939	78.7910
Koyra	40739	20484	1504	3809	771	2332	1411	2813	4224	33124	81.3078

 
