   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Patharghata	31578	8673	667	7485	1013	1481	3223	1653	4876	24195	76.6198
Bmna	15099	5775	444	1617	468	1227	1747	666	2413	11944	79.1046
Amtali	64536	21917	1828	14160	1064	2631	3254	3885	7139	48739	75.5222
Betagi	23183	8395	859	4470	1110	1008	1488	1017	2505	18347	79.1399
Barguna Sadar	59807	20027	1378	13722	1430	2795	3915	2413	6328	45680	76.3790

 
