   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:17
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Durgapur	41520	17932	2780	3860	281	709	494	5016	5510	31072	74.8362
Poba (Sadar)	65647	21723	5637	11426	849	1457	597	11014	11611	52703	80.2824
Mohanpur	40433	17380	1551	7022	327	989	676	3849	4525	31794	78.6338
Puthiya	46606	19296	3333	5157	319	562	237	7436	7673	36340	77.9728
Bagmara	92931	41519	5461	10385	1118	1347	2405	8550	10955	70785	76.1694
Charghat	45451	19297	2739	7171	553	471	250	5113	5363	35594	78.3129
Boalia	33812	10353	8631	1987	306	198	183	4183	4366	25841	76.4255
Tanore	40753	19279	1483	2909	548	1361	833	5331	6164	31744	77.8937
Godagari	63097	18970	4525	9613	780	495	1616	10028	11644	46027	72.9464
Bagha	41078	15092	3203	8124	405	646	127	6417	6544	34014	82.8034

 
